"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - lr","a100_fw1b_l22_decoupled_s1337_paper_strict:train - lr__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - lr__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - lr","a100_fw1b_l22_baseline_s1337_paper_strict:train - lr__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - lr__MAX"
"11","0.0000014535714285714284","8.249999999999998e-7","0.0000016499999999999997","0.0000016499999999999997","0.0000016499999999999997","0.0000016499999999999997"
"21","0.000002775","0.000001575","0.00000315","0.00000315","0.00000315","0.00000315"
"31","0.000004096428571428571","0.0000023249999999999998","0.0000046499999999999995","0.0000046499999999999995","0.0000046499999999999995","0.0000046499999999999995"
"41","0.000005417857142857143","0.0000030749999999999998","0.0000061499999999999996","0.0000061499999999999996","0.0000061499999999999996","0.0000061499999999999996"
"51","0.000006739285714285713","0.000003825","0.00000765","0.00000765","0.00000765","0.00000765"
"61","0.000008060714285714285","0.000004574999999999999","0.000009149999999999999","0.000009149999999999999","0.000009149999999999999","0.000009149999999999999"
"71","0.000009382142857142854","0.000005324999999999999","0.000010649999999999998","0.000010649999999999998","0.000010649999999999998","0.000010649999999999998"
"81","0.000010703571428571427","0.0000060749999999999994","0.000012149999999999999","0.000012149999999999999","0.000012149999999999999","0.000012149999999999999"
"91","0.000012024999999999998","0.000006824999999999999","0.000013649999999999998","0.000013649999999999998","0.000013649999999999998","0.000013649999999999998"
"101","0.00001334642857142857","0.0000075749999999999995","0.000015149999999999999","0.000015149999999999999","0.000015149999999999999","0.000015149999999999999"
"111","0.000014667857142857141","0.000008324999999999999","0.000016649999999999998","0.000016649999999999998","0.000016649999999999998","0.000016649999999999998"
"121","0.000015989285714285712","0.000009074999999999999","0.000018149999999999997","0.000018149999999999997","0.000018149999999999997","0.000018149999999999997"
"131","0.000017310714285714288","0.000009825","0.00001965","0.00001965","0.00001965","0.00001965"
"141","0.000018632142857142854","0.000010574999999999998","0.000021149999999999996","0.000021149999999999996","0.000021149999999999996","0.000021149999999999996"
"151","0.000019953571428571426","0.000011324999999999999","0.000022649999999999998","0.000022649999999999998","0.000022649999999999998","0.000022649999999999998"
"161","0.000021274999999999995","0.000012074999999999999","0.000024149999999999997","0.000024149999999999997","0.000024149999999999997","0.000024149999999999997"
"171","0.00002259642857142857","0.000012825","0.00002565","0.00002565","0.00002565","0.00002565"
"181","0.000023917857142857137","0.000013574999999999998","0.000027149999999999996","0.000027149999999999996","0.000027149999999999996","0.000027149999999999996"
"191","0.00002523928571428571","0.000014325","0.00002865","0.00002865","0.00002865","0.00002865"
"201","0.000026560714285714286","0.000015074999999999999","0.000030149999999999998","0.000030149999999999998","0.000030149999999999998","0.000030149999999999998"
"211","0.00002788214285714285","0.000015825","0.00003165","0.00003165","0.00003165","0.00003165"
"221","0.000029203571428571427","0.000016575","0.00003315","0.00003315","0.00003315","0.00003315"
"231","0.000030525","0.000017325","0.00003465","0.00003465","0.00003465","0.00003465"
"241","0.00003184642857142856","0.000018075","0.00003615","0.00003615","0.00003615","0.00003615"
"251","0.000033167857142857135","0.000018824999999999997","0.000037649999999999994","0.000037649999999999994","0.000037649999999999994","0.000037649999999999994"
"261","0.000034489285714285714","0.000019574999999999998","0.000039149999999999996","0.000039149999999999996","0.000039149999999999996","0.000039149999999999996"
"271","0.00003581071428571429","0.000020325","0.00004065","0.00004065","0.00004065","0.00004065"
"281","0.00003713214285714285","0.000021075","0.00004215","0.00004215","0.00004215","0.00004215"
"291","0.000038453571428571425","0.000021824999999999995","0.00004364999999999999","0.00004364999999999999","0.00004364999999999999","0.00004364999999999999"
"301","0.00003977499999999999","0.000022574999999999996","0.00004514999999999999","0.00004514999999999999","0.00004514999999999999","0.00004514999999999999"
"311","0.000041096428571428564","0.000023324999999999998","0.000046649999999999996","0.000046649999999999996","0.000046649999999999996","0.000046649999999999996"
"321","0.00004241785714285714","0.000024075","0.00004815","0.00004815","0.00004815","0.00004815"
"331","0.000043739285714285716","0.000024825","0.00004965","0.00004965","0.00004965","0.00004965"
"341","0.00004506071428571429","0.000025574999999999998","0.000051149999999999996","0.000051149999999999996","0.000051149999999999996","0.000051149999999999996"
"351","0.00004638214285714286","0.000026324999999999996","0.00005264999999999999","0.00005264999999999999","0.00005264999999999999","0.00005264999999999999"
"361","0.00004770357142857142","0.000027074999999999997","0.000054149999999999995","0.000054149999999999995","0.000054149999999999995","0.000054149999999999995"
"371","0.00004902499999999999","0.000027825","0.00005565","0.00005565","0.00005565","0.00005565"
"381","0.000050346428571428565","0.000028574999999999997","0.00005714999999999999","0.00005714999999999999","0.00005714999999999999","0.00005714999999999999"
"391","0.000051667857142857144","0.000029324999999999998","0.000058649999999999996","0.000058649999999999996","0.000058649999999999996","0.000058649999999999996"
"401","0.00005298928571428572","0.000030075","0.00006015","0.00006015","0.00006015","0.00006015"
"411","0.00005431071428571429","0.000030825","0.00006165","0.00006165","0.00006165","0.00006165"
"421","0.00005563214285714285","0.000031574999999999995","0.00006314999999999999","0.00006314999999999999","0.00006314999999999999","0.00006314999999999999"
"431","0.000056953571428571434","0.000032325","0.00006465","0.00006465","0.00006465","0.00006465"
"441","0.000058275","0.000033075","0.00006615","0.00006615","0.00006615","0.00006615"
"451","0.00005959642857142856","0.000033824999999999995","0.00006764999999999999","0.00006764999999999999","0.00006764999999999999","0.00006764999999999999"
"461","0.000060917857142857145","0.000034575","0.00006915","0.00006915","0.00006915","0.00006915"
"471","0.00006223928571428571","0.000035325","0.00007065","0.00007065","0.00007065","0.00007065"
"481","0.00006356071428571428","0.000036074999999999996","0.00007214999999999999","0.00007214999999999999","0.00007214999999999999","0.00007214999999999999"
"491","0.00006488214285714284","0.000036824999999999994","0.00007364999999999999","0.00007364999999999999","0.00007364999999999999","0.00007364999999999999"
"501","0.00006620357142857143","0.000037575","0.00007515","0.00007515","0.00007515","0.00007515"
"511","0.00006752499999999999","0.000038324999999999996","0.00007664999999999999","0.00007664999999999999","0.00007664999999999999","0.00007664999999999999"
"521","0.00006884642857142857","0.000039075","0.00007815","0.00007815","0.00007815","0.00007815"
"531","0.00007016785714285715","0.000039825","0.00007965","0.00007965","0.00007965","0.00007965"
"541","0.0000714892857142857","0.000040575","0.00008115","0.00008115","0.00008115","0.00008115"
"551","0.00007281071428571429","0.000041325","0.00008265","0.00008265","0.00008265","0.00008265"
"561","0.00007413214285714286","0.000042075","0.00008415","0.00008415","0.00008415","0.00008415"
"571","0.00007545357142857141","0.00004282499999999999","0.00008564999999999998","0.00008564999999999998","0.00008564999999999998","0.00008564999999999998"
"581","0.00007677499999999998","0.000043574999999999995","0.00008714999999999999","0.00008714999999999999","0.00008714999999999999","0.00008714999999999999"
"591","0.00007809642857142857","0.00004432499999999999","0.00008864999999999999","0.00008864999999999999","0.00008864999999999999","0.00008864999999999999"
"601","0.00007941785714285714","0.00004507499999999999","0.00009014999999999998","0.00009014999999999998","0.00009014999999999998","0.00009014999999999998"
"611","0.0000807392857142857","0.000045824999999999996","0.00009164999999999999","0.00009164999999999999","0.00009164999999999999","0.00009164999999999999"
"621","0.00008206071428571426","0.000046574999999999994","0.00009314999999999999","0.00009314999999999999","0.00009314999999999999","0.00009314999999999999"
"631","0.00008338214285714287","0.000047325","0.00009465","0.00009465","0.00009465","0.00009465"
"641","0.00008470357142857143","0.000048074999999999996","0.00009614999999999999","0.00009614999999999999","0.00009614999999999999","0.00009614999999999999"
"651","0.00008602499999999999","0.000048824999999999994","0.00009764999999999999","0.00009764999999999999","0.00009764999999999999","0.00009764999999999999"
"661","0.00008734642857142856","0.000049575","0.00009915","0.00009915","0.00009915","0.00009915"
"671","0.00008866785714285712","0.000050325","0.00010065","0.00010065","0.00010065","0.00010065"
"681","0.00008998928571428572","0.000051075","0.00010215","0.00010215","0.00010215","0.00010215"
